index,a,b,c,d,e
605,boycott,boycotts,boycotted,boycotted,boycotting
606,braai,braais,braaied,braaied,braaiing
607,brace,braces,braced,braced,bracing
608,bracket,brackets,bracketed,bracketed,bracketing
609,brag,brags,bragged,bragged,bragging
610,braid,braids,braided,braided,braiding
611,brain,brains,brained,brained,braining
612,brainstorm,brainstorms,brainstormed,brainstormed,brainstorming
613,brainwash,brainwashes,brainwashed,brainwashed,brainwashing
614,braise,braises,braised,braised,braising
615,brake,brakes,braked,braked,braking
616,branch,branches,branched,branched,branching
617,brand,brands,branded,branded,branding
618,brandish,brandishes,brandished,brandished,brandishing
619,brave,braves,braved,braved,braving
620,brawl,brawls,brawled,brawled,brawling
621,bray,brays,brayed,brayed,braying
622,brazen,brazens,brazened,brazened,brazening
623,breach,breaches,breached,breached,breaching
624,break,breaks,broke,broken,breaking
625,breakdance,breakdances,breakdanced,breakdanced,breakdancing
626,breakfast,breakfasts,breakfasted,breakfasted,breakfasting
627,breast,breasts,breasted,breasted,breasting
628,breast-feed,breast-feeds,breast-fed,breast-fed,breast-feeding
629,breastfeed,breastfeeds,breastfed,breastfed,breastfeeding
630,breathalyse,breathalyses,breathalysed,breathalysed,breathalysing
631,breathalyze,breathalyzes,breathalyzed,breathalyzed,breathalyzing
632,breathe,breathes,breathed,breathed,breathing
633,breed,breeds,bred,bred,breeding
634,breeze,breezes,breezed,breezed,breezing
635,brew,brews,brewed,brewed,brewing
636,bribe,bribes,bribed,bribed,bribing
637,brick,bricks,bricked,bricked,bricking
638,bridge,bridges,bridged,bridged,bridging
639,bridle,bridles,bridled,bridled,bridling
640,brief,briefs,briefed,briefed,briefing
641,brighten,brightens,brightened,brightened,brightening
642,brim,brims,brimmed,brimmed,brimming
643,bring,brings,brought,brought,bringing
644,bristle,bristles,bristled,bristled,bristling
645,broach,broaches,broached,broached,broaching
646,broadcast,broadcasts,broadcast,broadcast,broadcasting
647,broadcast,broadcasts,broadcasted,broadcasted,broadcasting
648,broaden,broadens,broadened,broadened,broadening
649,broadside,broadsides,broadsided,broadsided,broadsiding
650,broil,broils,broiled,broiled,broiling
651,broker,brokers,brokered,brokered,brokering
652,brood,broods,brooded,brooded,brooding
653,brook,brooks,brooked,brooked,brooking
654,browbeat,browbeats,browbeat,browbeaten,browbeating
655,brown,browns,browned,browned,browning
656,brown-bag,brown-bags,brown-bagged,brown-bagged,brown-bagging
657,brown-nose,brown-nones,brown-nosed,brown-nosed,brown-nosing
658,brownbag,brownbags,brownbagged,brownbagged,brownbagging
659,brownnose,brownnones,brownnosed,brownnosed,brownnosing
660,browse,browses,browsed,browsed,browsing
661,bruise,bruises,bruised,bruised,bruising
662,bruit,bruits,bruited,bruited,bruiting
663,brush,brushes,brushed,brushed,brushing
664,brutalise,brutalises,brutalised,brutalised,brutalising
665,brutalize,brutalizes,brutalized,brutalized,brutalizing
666,bubble,bubbles,bubbled,bubbled,bubbling
667,buck,bucks,bucked,bucked,bucking
668,bucket,buckets,bucketed,bucketed,bucketing
669,buckle,buckles,buckled,buckled,buckling
670,bud,buds,budded,budded,budding
671,buddy,buddies,buddied,buddied,buddying
672,budge,budges,budged,budged,budging
673,budget,budgets,budgeted,budgeted,budgeting
674,buff,buffs,buffed,buffed,buffing
675,buffer,buffers,buffered,buffered,buffering
676,buffet,buffets,buffeted,buffeted,buffeting
677,bug,bugs,bugged,bugged,bugging
678,bugger,buggers,buggered,buggered,buggering
679,build,builds,built,built,building
680,bulge,bulges,bulged,bulged,bulging
681,bulk,bulks,bulked,bulked,bulking
682,bulldoze,bulldozes,bulldozed,bulldozed,bulldozing
683,bullshit,bullshits,bullshitted,bullshitted,bullshitting
684,bully,bullies,bullied,bullied,bullying
685,bum,bums,bummed,bummed,bumming
686,bumble,bumbles,bumbled,bumbled,bumbling
687,bump,bumps,bumped,bumped,bumping
688,bunch,bunches,bunched,bunched,bunching
689,bundle,bundles,bundled,bundled,bundling
690,bung,bungs,bunged,bunged,bunging
691,bungle,bungles,bungled,bungled,bungling
692,bunk,bunks,bunked,bunked,bunking
693,bunker,bunkers,bunkered,bunkered,bunkering
694,bunny-hop,bunny-hops,bunny-hopped,bunny-hopped,bunny-hopping
695,bunnyhop,bunnyhops,bunnyhopped,bunnyhopped,bunnyhopping
696,bunt,bunts,bunted,bunted,bunting
697,buoy,buoys,buoyed,buoyed,buoying
698,burble,burbles,burbled,burbled,burbling
699,burden,burdens,burdened,burdened,burdening
700,burgeon,burgeons,burgeoned,burgeoned,burgeoning
701,burglarise,burglarises,burglarised,burglarised,burglarising
702,burglarize,burglarizes,burglarized,burglarized,burglarizing
703,burgle,burgles,burgled,burgled,burgling
704,burn,burns,burned,burned,burning
705,burn,burns,burnt,burnt,burning
706,burnish,burnishes,burnished,burnished,burnishing
707,burp,burps,burped,burped,burping
708,burrow,burrows,burrowed,burrowed,burrowing
709,burst,bursts,burst,burst,bursting
710,bury,buries,buried,buried,burying
711,bus,buses,bused,bused,busing
712,bushwhack,bushwhacks,bushwhacked,bushwhacked,bushwhacking
713,busk,busks,busked,busked,busking
714,buss,busses,bussed,bussed,bussing
715,bust,busts,bust,bust,busting
716,bustle,bustles,bustled,bustled,bustling
717,busy,busies,busied,busied,busying
718,butcher,butchers,butchered,butchered,butchering
719,butt,butts,butted,butted,butting
720,butter,butters,buttered,buttered,buttering
721,button,buttons,buttoned,buttoned,buttoning
722,buttonhole,buttonholes,buttonholed,buttonholed,buttonholing
723,buttress,buttresses,buttressed,buttressed,buttressing
724,buy,buys,bought,bought,buying
725,buzz,buzzes,buzzed,buzzed,buzzing
726,bypass,bypasses,bypassed,bypassed,bypassing
727,cable,cables,cabled,cabled,cabling
728,cache,caches,cached,cached,caching
729,cackle,cackles,cackled,cackled,cackling
730,caddie,caddies,caddied,caddied,caddying
731,caddy,caddies,caddied,caddied,caddying
732,cadge,cadges,cadged,cadged,cadging
733,cage,cages,caged,caged,caging
734,cajole,cajoles,cajoled,cajoled,cajoling
735,cake,cakes,caked,caked,caking
736,calcify,calcifies,calcified,calcified,calcifying
737,calculate,calculates,calculated,calculated,calculating
738,calibrate,calibrates,calibrated,calibrated,calibrating
739,calk,calks,calked,calked,calking
740,call,calls,called,called,calling
741,calm,calms,calmed,calmed,calming
742,calve,calves,calved,calved,calving
743,camouflage,camouflages,camouflaged,camouflaged,camouflaging
744,camp,camps,camped,camped,camping
745,campaign,campaigns,campaigned,campaigned,campaigning
746,can,cans,canned,canned,canning
747,canalise,canalises,canalised,canalised,canalising
748,canalize,canalizes,canalized,canalized,canalizing
749,cancel,cancels,cancelled,cancelled,cancelling
750,cane,canes,caned,caned,caning
751,cannibalise,cannibalises,cannibalised,cannibalised,cannibalising
752,cannibalize,cannibalizes,cannibalized,cannibalized,cannibalizing
753,cannon,cannons,cannoned,cannoned,cannoning
754,cannulate,cannulates,cannulated,cannulated,cannulating
755,canoe,canoes,canoed,canoed,canoeing
756,canonise,canonises,canonised,canonised,canonising
757,canonize,canonizes,canonized,canonized,canonizing
758,canoodle,canoodles,canoodled,canoodled,canoodling
759,cant,cants,canted,canted,canting
760,canter,canters,cantered,cantered,cantering
761,canvass,canvasses,canvassed,canvassed,canvassing
762,cap,caps,capped,capped,capping
763,caper,capers,capered,capered,capering
764,capitalise,capitalises,capitalised,capitalised,capitalising
765,capitalize,capitalizes,capitalized,capitalized,capitalizing
766,capitulate,capitulates,capitulated,capitulated,capitulating
767,capsise,capsises,capsised,capsised,capsising
768,capsize,capsizes,capsized,capsized,capsizing
769,captain,captains,captained,captained,captaining
770,caption,captions,captioned,captioned,captioning
771,captivate,captivates,captivated,captivated,captivating
772,capture,captures,captured,captured,capturing
773,caramelise,caramelises,caramelised,caramelised,caramelising
774,caramelize,caramelizes,caramelized,caramelized,caramelizing
775,carbonise,carbonises,carbonised,carbonised,carbonising
776,carbonize,carbonizes,carbonized,carbonized,carbonizing
777,carburise,carburises,carburised,carburised,carburising
778,carburize,carburizes,carburized,carburized,carburizing
779,card,cards,carded,carded,carding
780,care,cares,cared,cared,caring
781,careen,careens,careened,careened,careening
782,career,careers,careered,careered,careering
783,caress,caresses,caressed,caressed,caressing
784,caricature,caricatures,caricatured,caricatured,caricaturing
785,carjack,carjacks,carjacked,carjacked,carjacking
786,carol,carols,carolled,carolled,carolling
787,carom,caroms,caromed,caromed,caroming
788,carouse,carouses,caroused,caroused,carousing
789,carp,carps,carped,carped,carping
790,carpet,carpets,carpeted,carpeted,carpeting
791,carpet-bomb,carpet-bombs,carpet-bombed,carpet-bombed,carpet-bombing
792,carpetbomb,carpetbombs,carpetbombed,carpetbombed,carpetbombing
793,carpool,carpools,carpooled,carpooled,carpooling
794,carry,carries,carried,carried,carrying
795,cart,carts,carted,carted,carting
796,cartwheel,cartwheels,cartwheeled,cartwheeled,cartwheeling
797,carve,carves,carved,carved,carving
798,cascade,cascades,cascaded,cascaded,cascading
799,case,cases,cased,cased,casing
800,cash,cashes,cashed,cashed,cashing
801,cashier,cashiers,cashiered,cashiered,cashiering
802,casserole,casseroles,casseroled,casseroled,casseroling
803,cast,casts,cast,cast,casting
804,castigate,castigates,castigated,castigated,castigating
805,castrate,castrates,castrated,castrated,castrating
806,catalogue,catalogues,catalogued,catalogued,cataloguing
807,catalyse,catalyses,catalysed,catalysed,catalysing
808,catapult,catapults,catapulted,catapulted,catapulting
809,catch,catches,caught,caught,catching
810,categorise,categorises,categorised,categorised,categorising
811,categorize,categorizes,categorized,categorized,categorizing
812,cater,caters,catered,catered,catering
813,caterwaul,caterwauls,caterwauled,caterwauled,caterwauling
814,catfish,catfishes,catfished,catfished,catfishing
815,catnap,catnaps,catnapped,catnapped,catnapping
816,caucus,caucuses,caucused,caucused,caucusing
817,caulk,caulks,caulked,caulked,caulking
818,cause,causes,caused,caused,causing
819,cauterise,cauterises,cauterised,cauterised,cauterising
820,cauterize,cauterizes,cauterized,cauterized,cauterizing
821,caution,cautions,cautioned,cautioned,cautioning
822,cave,caves,caved,caved,caving
823,cavil,cavils,cavilled,cavilled,cavilling
824,cavort,cavorts,cavorted,cavorted,cavorting
825,caw,caws,cawed,cawed,cawing
826,cc,cc's,cc'ed,cc'ed,cc'ing
827,cease,ceases,ceased,ceased,ceasing
828,cede,cedes,ceded,ceded,ceding
829,celebrate,celebrates,celebrated,celebrated,celebrating
830,cement,cements,cemented,cemented,cementing
831,censor,censors,censored,censored,censoring
832,censure,censures,censured,censured,censuring
833,centralise,centralises,centralised,centralised,centralising
834,centralize,centralizes,centralized,centralized,centralizing
835,centre,centres,centred,centred,centring
836,certificate,certificates,certificated,certificated,certificating
837,certify,certifies,certified,certified,certifying
838,chafe,chafes,chafed,chafed,chafing
839,chaff,chaffs,chaffed,chaffed,chaffing
840,chain,chains,chained,chained,chaining
841,chain-smoke,chain-smokes,chain-smoked,chain-smoked,chain-smoking
842,chainsmoke,chainsmokes,chainsmoked,chainsmoked,chainsmoking
843,chair,chairs,chaired,chaired,chairing
844,chalk,chalks,chalked,chalked,chalking
845,challan,challans,challaned,challaned,challaning
846,challenge,challenges,challenged,challenged,challenging
847,champ,champs,champed,champed,champing
848,champion,champions,championed,championed,championing
849,chance,chances,chanced,chanced,chancing
850,change,changes,changed,changed,changing
851,channel,channels,channelled,channelled,channelling
852,channel-hop,channel-hops,channel-hopped,channel-hopped,channel-hopping
853,channelhop,channelhops,channelhopped,channelhopped,channelhopping
854,chant,chants,chanted,chanted,chanting
855,chaperone,chaperones,chaperoned,chaperoned,chaperoning
856,char,chars,charred,charred,charring
857,characterise,characterises,characterised,characterised,characterising
858,characterize,characterizes,characterized,characterized,characterizing
859,charbroil,charbroils,charbroiled,charbroiled,charbroiling
860,charge,charges,charged,charged,charging
861,chargesheet,chargesheets,chargesheeted,chargesheeted,chargesheeting
862,chargrill,chargrills,chargrilled,chargrilled,chargrilling
863,charm,charms,charmed,charmed,charming
864,chart,charts,charted,charted,charting
865,charter,charters,chartered,chartered,chartering
866,chase,chases,chased,chased,chasing
867,chasten,chastens,chastened,chastened,chastening
868,chastise,chastises,chastised,chastised,chastising
869,chat,chats,chatted,chatted,chatting
870,chatter,chatters,chattered,chattered,chattering
871,chauffeur,chauffeurs,chauffeured,chauffeured,chauffeuring
872,cheapen,cheapens,cheapened,cheapened,cheapening
873,cheat,cheats,cheated,cheated,cheating
874,check,checks,checked,checked,checking
875,checkmate,checkmates,checkmated,checkmated,checkmating
876,cheek,cheeks,cheeked,cheeked,cheeking
877,cheep,cheeps,cheeped,cheeped,cheeping
878,cheer,cheers,cheered,cheered,cheering
879,cherish,cherishes,cherished,cherished,cherishing
880,cherry-pick,cherry-picks,cherry-picked,cherry-picked,cherry-picking
881,cherrypick,cherrypicks,cherrypicked,cherrypicked,cherrypicking
882,chew,chews,chewed,chewed,chewing
883,chicken,chickens,chickened,chickened,chickening
884,chide,chides,chided,chided,chiding
885,chill,chills,chilled,chilled,chilling
886,chillax,chillaxes,chillaxed,chillaxed,chillaxing
887,chime,chimes,chimed,chimed,chiming
888,chink,chinks,chinked,chinked,chinking
889,chip,chips,chipped,chipped,chipping
890,chirp,chirps,chirped,chirped,chirping
891,chirrup,chirrups,chirruped,chirruped,chirruping
892,chisel,chisels,chiselled,chiselled,chiselling
893,chivvy,chivvies,chivvied,chivvied,chivvying
894,chlorinate,chlorinates,chlorinated,chlorinated,chlorinating
895,choke,chokes,choked,choked,choking
896,chomp,chomps,chomped,chomped,chomping
897,choose,chooses,chose,chosen,choosing
898,chop,chops,chopped,chopped,chopping
899,choreograph,choreographs,choreographed,choreographed,choreographing
900,chortle,chortles,chortled,chortled,chortling
901,chorus,choruses,chorused,chorused,chorusing
902,chow,chows,chowed,chowed,chowing
903,christen,christens,christened,christened,christening
904,chromakey,chromakeys,chromakeyed,chromakeyed,chromakeying
905,chronicle,chronicles,chronicled,chronicled,chronicling
906,chuck,chucks,chucked,chucked,chucking
907,chuckle,chuckles,chuckled,chuckled,chuckling
908,chug,chugs,chugged,chugged,chugging
909,chunder,chunders,chundered,chundered,chundering
910,chunter,chunters,chuntered,chuntered,chuntering
911,churn,churns,churned,churned,churning
912,cinch,cinches,cinched,cinched,cinching
913,circle,circles,circled,circled,circling
914,circulate,circulates,circulated,circulated,circulating
915,circumcise,circumcises,circumcised,circumcised,circumcising
916,circumnavigate,circumnavigates,circumnavigated,circumnavigated,circumnavigating
917,circumscribe,circumscribes,circumscribed,circumscribed,circumscribing
918,circumvent,circumvents,circumvented,circumvented,circumventing
919,cite,cites,cited,cited,citing
920,civilise,civilises,civilised,civilised,civilising
921,civilize,civilizes,civilized,civilized,civilizing
922,clack,clacks,clacked,clacked,clacking
923,claim,claims,claimed,claimed,claiming
924,clam,clams,clammed,clammed,clamming
925,clamber,clambers,clambered,clambered,clambering
926,clamour,clamours,clamoured,clamoured,clamouring
